,Text,Time_Diff_seconds
120,"['Lannisters', 'don\'t act like fools.""']",2.468
121,"['What if Jon Arryn', 'told someone?']",2.267
122,['But who would he tell?'],2.3
123,"['- My husband.', '- If he told the King, both our heads']",3.135
124,"['would be skewered', 'on the city gates by now.']",2.2
125,"['Whatever Jon Arryn', ""knew or didn't know, it died with him.""]",3.003
126,"['And Robert will choose a new', 'Hand of the King-- someone to do his job']",3.803
127,"[""while he's off fucking boars"", 'and hunting whores--']",2.902
128,"['or is it', 'the other way around?']",2.968
129,['And life will go on.'],2.401
130,"['You should be', 'The Hand of the King.']",2.569
131,"[""That's an honor"", 'I can do without.']",2.835
132,"['Their days are too long,']",2.134
133,['their lives are too short.'],2.268
134,['All these years'],1.667
135,"['and I still feel', 'like an outsider']",1.667
136,['when I come here.'],2.235
137,"['You have five', 'northern children.']",2.535
138,"[""You're not an outsider.""]",3.235
139,"['I wonder', 'if the old gods agree.']",2.935
140,"[""It's your gods"", 'with all the rules.']",2.902
141,"['I am so sorry, my love.']",2.935
142,"['- Tell me.', ""- There was a raven from King's Landing.""]",3.536
143,['Jon Arryn is dead.'],1.701
144,['A fever took him.'],2.669
145,"['I know he was like', 'a father to you.']",2.301
146,"['- Your sister, the boy?', '- They both have their health,']",3.269
147,['gods be good.'],2.168
148,"['The raven', 'brought more news...']",2.902
149,"['The King rides', 'for Winterfell...']",2.101
150,['with the Queen'],1.7
151,"['and all the rest', 'of them.']",2.134
152,"[""If he's coming"", 'this far north...']",3.269
153,"[""There's only"", ""one thing he's after.""]",2.201
154,"['You can always say no, Ned.']",3.036
155,"['Catelyn:', ""We'll need plenty of candles"", ""for Lord Tyrion's chamber.""]",3.737
156,"[""I'm told he reads"", 'all night.']",1.934
157,"[""I'm told he drinks"", 'all night.']",1.901
158,"['How much could he possibly drink?', 'A man of his...']",3.303
159,['Stature?'],1.767
160,"[""We've brought up"", 'eight barrels of ale from the cellar.']",2.669
161,"[""- Perhaps we'll find out."", '- In any case,']",2.535
162,['candles.'],2.669
163,"['Why is your mother so dead set', 'on us getting pretty for the King?']",3.069
164,"[""It's for the Queen, I bet."", ""I hear she's a sleek bit of mink.""]",2.835
165,"['I hear the prince', 'is a right royal prick.']",2.101
166,"['Think of all those', 'southern girls he gets to stab']",2.034
167,"['with his right', 'royal prick.']",1.567
168,"['Go on, Tommy,', 'shear him good.']",2.135
169,"[""He's never met a girl he likes better"", 'than his own hair.']",2.469
170,['Brandon!'],1.467
171,"['I saw the king.', ""He's got hundreds of people.""]",3.336
172,"['How many times', 'have I told you no climbing?']",3.203
173,"[""But he's coming right now--"", 'down our road.']",2.868
174,"['I want you', 'to promise me,']",2.568
175,['no more climbing.'],1.767
176,['I promise.'],1.601
177,"['- Do you know what?', '- What?']",2.97
178,"['You always look', 'at your feet before you lie.']",2.301
179,"['Run and find your father.', 'Tell him the King is close.']",3.369
180,"[""Where's Arya?"", ""Sansa, where's your sister?""]",3.703
181,"['- Hey hey hey hey.', '- Ohh.']",1.634
182,"['What are you doing', 'with that on?']",2.301
183,['Move!'],1.801
184,['Your Grace.'],2.001
185,"[""You've got fat.""]",2.101
186,"['- Cat!', '- Your Grace.']",2.635
187,"[""Nine years-- why haven't I seen you?"", 'Where the hell have you been?']",3.068
188,"['Guarding the north', 'for you, your Grace.']",1.901
189,['Winterfell is yours.'],2.769
190,"[""- Where's the imp?"", '- Will you shut up?']",2.436
191,"['Robert:', 'Who have we here?']",2.702
192,['You must be Robb.'],1.768
193,"[""My, you're"", 'a pretty one.']",3.636
194,['Your name is?'],1.967
195,['Arya.'],2.568
196,"['Oh, show us', 'your muscles.']",3.036
197,"[""You'll be a soldier.""]",1.501
198,"['Arya:', ""That's Jaime Lannister,"", ""the Queen's twin brother.""]",2.802
199,"['Sansa:', 'Would you please shut up?']",2.202
200,['My Queen.'],2.201
201,['My Queen.'],1.634
202,"['Take me to your crypt.', 'I want to pay my respects.']",2.201
203,"[""We've been riding"", 'for a month, my love.']",2.235
204,['Surely the dead can wait.'],1.701
205,['Ned.'],1.967
206,"[""Where's the imp?""]",1.801
207,['Where is our brother?'],2.034
208,"['Go and find', 'the little beast.']",2.201
209,"['Tell me about', 'Jon Arryn.']",2.434
210,"['One minute', 'he was fine and then...']",2.635
211,"['Burned right through him,', 'whatever it was.']",2.735
212,['I loved that man.'],1.935
213,['We both did.'],1.334
214,"['Robert:', 'He never had to teach', 'you much, but me?']",3.236
215,['You remember me at 16?'],1.234
216,"['was crack skulls', 'and fuck girls.']",2.635
217,"['- He showed me what was what.', '- Aye.']",2.902
218,"[""Don't look at me like that."", ""It's not his fault I didn't listen.""]",3.336
219,"['I need you, Ned--']",2.334
220,"[""down at King's Landing, not up here"", ""where you're no damn use to anybody.""]",3.903
221,"['Lord Eddard Stark,']",2.868
222,"['I would name you', 'the Hand of the King.']",2.601
223,"[""I'm not worthy"", 'of the honor.']",2.068
224,"[""I'm not trying to honor you."", ""I'm trying to get you to run my kingdom""]",3.737
225,"['while I eat, drink and whore', 'my way to an early grave.']",3.536
226,"['Damn it, Ned, stand up.']",2.101
227,"['You helped me win', 'the iron throne,']",2.169
228,"['now help me', 'keep the damn thing.']",2.101
229,"['We were meant', 'to rule together.']",2.001
230,"['If your sister had lived,', ""we'd have been bound by blood.""]",4.069
231,"[""Well, it's not too late.""]",2.368
232,"['I have a son,', 'you have a daughter.']",1.935
233,"[""We'll join our Houses.""]",1.834
234,"[""Did you hear the King's"", 'in Winterfell?']",2.201
235,"['I did hear', 'something about that.']",1.935
236,"['And the Queen', 'and her twin brother.']",2.267
237,"['They say that he is the most', 'handsome man in the Seven Kingdoms.']",3.135
238,['And the other brother?'],2.134
239,"['- The Queen has two brothers?', ""- There's the pretty one,""]",3.036
240,"[""and there's"", 'the clever one.']",3.002
241,"['Mmm, I hear they', 'call him the imp.']",3.036
242,"['I hear he hates', 'that nickname.']",2.067
243,"['Oh?', ""I hear he's"", 'more than earned it.']",3.236
244,"[""I hear he's a drunken"", 'little lecher,']",2.768
245,"['prone to all manner', 'of perversions.']",2.435
246,['Clever girl.'],1.901
247,"[""We've been expecting you,"", 'Lord Tyrion.']",2.168
248,['Have you?'],1.901
249,"['- Oh!', '- Already?']",1.868
250,"['The gods gave me', 'one blessing.']",2.802
251,"[""- Don't get up."", '- My Lord.']",2.602
252,"['Should I explain to you', 'the meaning of a closed door']",2.335
253,"['- in a whorehouse, brother?', '- You have much to teach me, no doubt,']",3.737
254,"['but our sister craves', 'your attention.']",3.636
255,"['She has odd cravings,', 'our sister.']",2.102
256,['A family trait.'],2.134
257,"['Now the Starks are', 'feasting us at sundown.']",2.868
258,"[""Don't leave me alone"", 'with these people.']",2.201
259,"[""I'm sorry, I've begun"", 'the feast a bit early.']",2.368
260,"['And this is the first', 'of many courses.']",3.369
261,"['I thought', 'you might say that.']",2.202
262,"['But since', ""we're short on time...""]",2.401
263,"['Come on, girls.']",1.901
264,['See you at sundown.'],2.302
265,"['Tyrion:', 'Close the door!']",2.568
266,"['Did you have to bury her', 'in a place like this?']",3.002
267,"['She should be', 'on a hill somewhere']",2.301
268,"['with the sun', 'and the clouds above her.']",2.602
269,['She was my sister.'],1.968
270,"['This is where', 'she belongs.']",2.768
271,['She belonged with me.'],2.535
272,"['In my dreams,', 'I kill him every night.']",3.269
273,"[""It's done, your Grace.""]",2.468
274,['The Targaryens are gone.'],2.635
275,['Not all of them.'],2.301
276,"['Man:', 'Daenerys!']",2.101
277,['Daenerys.'],1.867
278,"[""There's our bride-to-be.""]",2.034
279,"['Look, a gift', 'from Illyrio.']",3.135
280,['Touch it.'],1.767
281,"['Go on,', 'feel the fabric.']",2.201
282,['Mmm.'],2.167
283,"[""Isn't he a gracious host?""]",2.803
284,"[""We've been his guests"", 'for over a year']",2.035
285,"[""and he's never"", 'asked us for anything.']",1.968
286,"[""Illyrio's no fool.""]",1.735
287,"[""He knows I won't"", 'forget my friends']",2.335
288,"['when I come', 'into my throne.']",2.035
289,['You still slouch.'],2.668
290,['Let them see.'],2.401
291,"['You have', ""a woman's body now.""]",2.901
292,"['I need you to be', 'perfect today.']",2.969
293,['Can you do that for me?'],1.901
294,"[""You don't want to wake"", 'the dragon, do you?']",2.702
295,['No.'],1.6
296,"['When they write the history', 'of my reign, sweet sister,']",3.069
297,"['they will say', 'it began today.']",2.234
298,"[""It's too hot, my lady.""]",2.469
299,['Where is he?'],2.302
300,"['The Dothraki are not known', 'for their punctuality.']",2.634
301,"['May I present', 'my honored guests?']",1.935
302,"['Viserys', 'of House Targaryen,']",3.704
303,"['the third of his name,']",1.701
304,"['the rightful king of the Andals', 'and the first men,']",3.335
305,['and his sister'],1.734
306,"['Daenerys', 'of House Targaryen.']",2.635
307,"['Do you see', 'how long his hair is?']",2.468
308,"['When Dothraki are', 'defeated in combat,']",2.701
309,"['they cut off their braids', 'so the whole world can', 'see their shame.']",3.936
310,"['Khal Drogo has', 'never been defeated.']",3.969
311,"[""He's a savage, of course,""]",1.801
312,"['but one of the finest', 'killers alive.']",2.335
313,['And you will be his Queen.'],2.134
314,"['Come forward, my dear.']",2.635
315,['Where is he going?!'],1.668
316,"['- The ceremony is over.', ""- But he didn't say anything.""]",2.535
317,"['- Did he like her?', '- Trust me, your Grace,']",2.434
318,"[""if he didn't like her,"", ""we'd know.""]",2.501
319,"[""It won't be"", 'long now.']",2.268
320,"['Soon you will cross', 'the Narrow Sea']",1.901
321,"['and take back', ""your father's throne.""]",2.435
322,"['The people', 'drink secret toasts']",2.901
323,['to your health.'],1.7
324,"['They cry out', 'for their true king.']",2.335
325,"['When will they', 'be married?']",1.868
326,"['Soon.', 'The Dothraki never stay still for long.']",3.537
327,"['Is it true they lie', 'with their horses?']",2.535
328,"[""I wouldn't ask"", 'Khal Drogo.']",3.069
329,"['Do you take me', 'for a fool?']",1.867
330,"['I take you', 'for a King.']",1.835
331,"['Kings lack the caution', 'of common men.']",3.203
332,"['My apologies if', ""I've given offense.""]",2.368
333,"['I know how to play', 'a man like Drogo.']",2.369
334,"['I give him a Queen', 'and he gives me an army.']",2.902
335,"[""I don't want"", 'to be his Queen.']",2.869
336,['I want to go home.'],2.102
337,['So do I.'],1.467
338,"['I want us both', 'to go home,']",3.135
339,['but they took it from us.'],2.3
340,"['So tell me, sweet sister,']",1.767
341,['how do we go home?'],2.201
342,"[""I don't know.""]",1.567
343,['We go home with an army.'],3.002
344,"[""With Khal Drogo's army.""]",3.202
345,"['I would let', 'his whole tribe fuck you--']",3.002
346,"['all 40,000 men', 'and their horses too']",3.203
347,"[""if that's what it took.""]",1.868
348,"['Do you think Joffrey', 'will like me?']",2.435
349,"['What if he thinks', ""I'm ugly?""]",2.535
350,"['Then he is the stupidest prince', 'that ever lived.']",3.67
351,"[""He's so handsome.""]",2.568
352,"['When would we be married?', 'Soon? Or do we have to wait?']",2.701
353,"['Hush now.', ""Your father hasn't even said yes.""]",3.102
354,['Why would he say no?'],1.834
355,"[""He'd be the second most powerful man"", 'in the kingdoms.']",3.269
356,"[""He'd have to leave home.""]",2.568
357,"[""He'd have to leave me.""]",2.935
358,['And so would you.'],3.003
359,"['You left your home', 'to come here.']",2.601
360,"[""And I'd be Queen someday.""]",2.801
361,"['Please make father', 'say yes!']",1.568
362,"['- Sansa--', '- Please please!']",1.867
363,"[""It's the only thing"", 'I ever wanted.']",2.936
364,"['Fill that up!', 'Boys, Rodrik, come on.']",2.268
365,['Come on!'],2.268
366,['Is he dead yet?'],2.768
367,['Uncle Benjen.'],2.468
368,['You got bigger.'],2.468
369,"['Rode all day.', ""Didn't want to leave you"", 'alone with the Lannisters.']",3.903
370,"[""Why aren't you"", 'at the feast?']",1.935
371,"['Lady Stark thought', 'it might insult the royal family']",3.035
372,"['to seat a bastard', 'in their midst.']",2.201
373,"[""Well, you're always"", 'welcome on the wall.']",2.702
374,"['No bastard was ever', 'refused a seat there.']",2.201
375,"['So take me with you', 'when you go back.']",1.7
376,"['- Jon--', '- Father will let me if you ask him.']",2.868
377,['I know he will.'],2.201
378,"[""The wall isn't"", 'going anywhere.']",2.234
379,"[""I'm ready""]",1.333
380,['to swear your oath.'],1.334
381,"[""You don't understand"", ""what you'd be giving up.""]",2.702
382,['We have no families.'],2.468
383,"['- None of us will ever father sons--', ""- I don't care about that!""]",3.337
384,"['You might, if you knew', 'what it meant.']",2.468
385,"[""I'd better get inside,""]",2.235
386,"['rescue your father', 'from his guests.']",2.669
387,"[""We'll talk later.""]",2.068
388,"['Tyrion:', ""Your Uncle's in"", ""The Night's Watch.""]",2.801
389,"['What are you doing', 'back there?']",2.334
390,"['Preparing for a night', 'with your family.']",3.168
391,"[""I've always wanted"", 'to see the wall.']",2.101
392,"[""You're Tyrion Lannister,""]",1.735
393,"[""the Queen's brother?""]",1.601
394,"['My greatest', 'accomplishment.']",2.201
395,"[""And you-- you're Ned Stark's"", ""bastard, aren't you?""]",3.769
396,"['Did I offend you?', 'Sorry.']",2.235
397,"['You are', 'the bastard though.']",2.602
398,"['Lord Eddard Stark', 'is my father.']",2.402
399,"['And Lady Stark', 'is not your mother,']",2.501
400,['making you the bastard.'],2.268
401,"['Let me give you', 'some advice, bastard.']",2.802
402,"['Never forget', 'what you are.']",1.801
403,"['The rest of the world', 'will not.']",1.934
404,['Wear it like armor'],2.569
405,"['and it can never', 'be used to hurt you.']",2.535
406,"['What the hell do you know about', 'being a bastard?']",3.003
407,"['All dwarves are bastards', ""in their father's eyes.""]",3.403
408,"['You at a feast--', ""it's like a bear in a trap.""]",4.37
409,['The boy I beheaded--'],2.334
410,"['- did you know him?', '- Of course I did.']",2.568
411,['Just a lad.'],2.102
412,"['And he was tough, Ned,']",1.734
413,['a true ranger.'],1.768
414,"['Pfft.', 'He was talking madness.']",3.47
415,"['Said the Walkers', 'slaughtered his friends.']",2.235
416,"['The two he was with', 'are still missing.']",2.568
417,"['Hmph.', 'A wildling ambush.']",3.169
418,['Maybe.'],1.634
419,"['Direwolves', 'south of the wall,']",3.536
420,"['talk of The Walkers,']",2.501
421,"['and my brother might be', 'the next Hand of the King.']",2.602
422,['Winter is coming.'],3.269
423,['Winter is coming.'],1.9
424,"['- Uncle Benjen.', '- Robb boy.']",2.935
425,"['- How are you?', ""- I'm good.""]",1.601
426,"['Is this your first time', 'in the north, your Grace?']",2.234
427,"['Yes.', 'Lovely country.']",3.136
428,"[""I'm sure it's very grim"", ""after King's Landing.""]",3.402
429,"['I remember how scared I was', 'when Ned brought me']",2.101
430,"['up here', 'for the first time.']",2.235
431,"['Hello, little dove.']",1.734
432,['But you are a beauty.'],2.168
433,"['- How old are you?', '- 13, your Grace.']",2.101
434,"[""You're tall."", 'Still growing?']",2.734
435,"['I think so, your Grace.']",1.9
436,['And have you bled yet?'],2.234
437,"['No, your Grace.']",1.7
438,"['Your dress,', 'did you make it?']",2.168
439,"['Such a talent.', 'You must make something for me.']",3.336
440,"['I hear we might share', 'a grandchild someday.']",3.102
441,['I hear the same.'],2.235
442,"['Your daughter will', 'do well in the capital.']",2.068
443,"[""Such a beauty shouldn't stay hidden"", 'up here forever.']",3.704
444,"['- Your pardon.', '- I hear we might be neighbors soon.']",3.303
445,"[""- I hope it's true."", '- Yes,']",1.667
446,"['the King has honored me', 'with his offer.']",1.867
447,"[""I'm sure we'll have"", 'a tournament']",1.501
448,"['to celebrate your new title--', 'if you accept.']",1.967
449,"['It would be good', 'to have you on the field.']",2.202
450,"['The competition', 'has become a bit stale.']",2.168
451,"[""- I don't fight in tournaments."", '- No?']",2.736
452,"['Getting', 'a little old for it?']",1.501
453,"['because when I fight', 'a man for real']",2.501
454,"[""I don't want him to know"", 'what I can do.']",2.234
455,['Well said.'],1.8
456,"[""It's not funny!""]",2.602
457,"['She always', 'does this.']",2.735
458,"['This was', 'my favorite dress.']",1.868
459,"['She always does it', ""and it's not funny!""]",3.269
460,"['Robb:', 'Time for bed.']",1.934
461,"['Ned:', ""I'm a Northman.""]",3.069
462,"['I belong here with you,', 'not down south']",2.402
463,"[""in that rats' nest"", 'they call a capital.']",2.502
464,"[""I won't let him"", 'take you.']",2.734
465,"['The king', 'takes what he wants.']",2.468
466,"[""I'll say,"", '""listen, fat man.""']",3.435
467,"['""You are not taking', 'my husband anywhere.']",2.502
468,"['He belongs to me now.""']",2.402
469,['How did he get so fat?'],2.001
470,"['He only stops eating', ""when it's time for a drink.""]",2.835
471,"['Man:', ""It's Maester Luwin,"", 'my Lord.']",2.769
472,['Send him in.'],2.402
473,"['Pardon, my Lord,', 'my Lady.']",2.168
474,['A rider in the night...'],2.835
475,['from your sister.'],2.102
476,"['- Stay.', '- This was sent from the Eyrie.']",2.669
477,"[""What's she doing"", 'at the Eyrie?']",2.368
478,"[""She hasn't been back there"", 'since her wedding.']",2.635
479,['What news?'],1.968
480,"[""She's fled"", 'the capital.']",2.769
481,"['She says Jon Arryn', 'was murdered.']",2.669
482,['By the Lannisters.'],1.968
483,"['She says the King', 'is in danger.']",2.769
484,"[""She's fresh widowed, Cat.""]",2.269
485,"[""She doesn't know"", ""what she's saying.""]",2.001
486,"[""Lysa's head would be"", 'on a spike right now']",2.502
487,"['if the wrong people', 'had found that letter.']",2.168
488,"['Do you think she would', 'risk her life--']",2.702
489,"[""her son's life--""]",1.634
490,"[""if she wasn't certain"", 'her husband was murdered?']",3.47
491,['If this news is true'],1.9
492,"['and the Lannisters', 'conspire against the throne,']",3.003
493,"['who but you can', 'protect the King?']",3.302
494,"['They murdered', 'the last Hand.']",2.201
495,"['Now you want Ned', 'to take the job?']",2.369
496,"['The King rode', 'for a month']",1.834
497,"['to ask for', ""Lord Stark's help.""]",2.034
498,"[""He's the only one"", 'he trusts.']",2.635
499,"['You swore the King', 'an oath, my Lord.']",3.137
500,"[""He's spent half his life"", ""fighting Robert's wars.""]",3.101
501,['He owes him nothing.'],2.501
502,"['Your father and brother', 'rode south once']",3.102
503,"[""on a King's demand.""]",2.868
504,['A different time.'],2.201
505,['A different King.'],2.067
506,"['When do I meet', 'with the Khal?']",1.801
507,"['We need to begin', 'planning the invasion.']",1.867
508,"['If Khal Drogo has', 'promised you a crown,']",2.467
509,"['- you shall have it.', '- When?']",1.968
510,"['When their omens', 'favor war.']",2.101
511,['I piss on Dothraki omens.'],3.269
512,"[""I've waited 17 years"", 'to get my throne back.']",3.236
513,['A Dothraki wedding'],1.467
514,"['without at least three deaths', 'is considered a dull affair.']",3.536
515,"['Jadi,', 'zhey jorah andahli!']",2.168
516,['Khal vezhven.'],1.867
517,"['A small gift,', 'for the new Khaleesi--']",3.035
518,"['songs and histories', 'from the Seven Kingdoms.']",2.302
519,"['Thank you, Ser.']",1.4
520,['Are you from my country?'],2.735
521,"['Ser Jorah Mormont', 'of Bear Island.']",2.168
522,"['I served your father', 'for many years.']",2.734
523,"['Gods be good, I hope to always', 'serve the rightful King.']",3.102
524,"['Illyrio:', ""Dragon's eggs, Daenerys,""]",2.602
525,"['from the Shadow Lands', 'beyond Asshai.']",2.969
526,"['The ages have', 'turned them to stone,']",3.035
527,"['but they will', 'always be beautiful.']",2.102
528,"['Thank you, Magister.']",2.302
529,"[""She's beautiful.""]",2.468
530,"['Ser Jorah,', ""I don't know how to say""]",2.368
531,"['thank you', 'in Dothraki.']",1.834
532,"['There is no word', 'for thank you in Dothraki.']",2.935
533,['Make him happy.'],2.001
534,"['Do you know', 'the common tongue?']",2.168
535,"['Is ""no"" the only word', 'that you know?']",2.568
536,['No.'],1.734
537,"['Rough night, imp?']",2.234
538,"['If I get through this', 'without squirting']",2.068
539,"['from one end or the other', ""it'll be a miracle.""]",2.401
540,"[""I didn't pick you"", 'for a hunter.']",2.368
541,"['The greatest in the land--', 'my spear never misses.']",3.102
542,"[""It's not hunting"", 'if you pay for it.']",2.569
543,"['Are you as good', 'with a spear as you used to be?']",2.268
544,"[""No, but I'm still"", 'better than you.']",2.535
545,"[""I know what I'm"", 'putting you through.']",1.867
546,['Thank you for saying yes.'],2.001
547,"['I only ask you', 'because I need you.']",2.435
548,"[""You're a loyal friend.""]",1.901
549,"['You hear me?', 'A loyal friend.']",3.302
550,"[""The last one I've got.""]",1.8
551,"[""- I hope I'll serve you well."", '- You will.']",2.168
552,"[""And I'll make sure you"", ""don't look so fucking grim all the time.""]",2.936
553,"['Come on, boys,', ""let's go kill some boar!""]",2.436
554,"['Come on, you.']",2.168
555,['Are you completely mad?'],2.269
556,"['- He saw us.', ""- It's all right, it's all right.""]",2.902
557,"[""- It's all right."", '- He saw us!']",1.868
558,"['I heard you', 'the first time.']",2.269
559,"['Quite the little climber,', ""aren't you?""]",2.435
560,"['- How old are you, boy?', '- 10.']",2.935
561,['10.'],1.7
562,"['The things', 'I do for love.']",2.502
563,"['<font color=#00FF00>♪ Game of Thrones 1x02 ♪</font>', '<font color=#00FFFF>The Kingsroad</font>', 'Original Air Date on April 24, 2011']",4.0
564,"['== sync,corrected by <font color=""#00ff00"">elderman</font> ==']",3.5
565,"['You need to drink, child.']",2.267
566,['And eat.'],2.201
567,"[""Isn't there"", 'anything else?']",2.368
568,"['The Dothraki have two things', 'in abundance:']",2.502
569,"['Grass and horses.', ""People can't live on grass.""]",3.77
570,"['In the Shadow Lands', 'beyond Asshai,']",2.668
571,"['they say there are', 'fields of ghost grass']",2.368
572,"['with stalks as pale as milk', 'that glow in the night.']",3.102
573,"['It murders', 'all other grass.']",2.635
574,"['The Dothraki believe', 'that one day']",2.468
575,"['it will cover everything--', ""that's the way the world will end.""]",3.202
576,"[""It'll get easier.""]",2.201
577,['Khaleesi!'],0.032
578,['Your hands.'],1.968
579,"[""We're still not far"", 'from Pentos, your Grace.']",2.635
580,"['Magister Illyrio has', 'extended his hospitality.']",2.434
581,"[""You'd be more"", 'comfortable there.']",2.001
582,"['I have no interest', 'in hospitality or comfort.']",2.401
583,"[""I'll stay with Drogo"", 'until he fulfills']",2.468
584,"['his end of the bargain', 'and I have my crown.']",2.301
585,"['As you wish, your Grace.']",2.335
586,"['Well, Mormont,', 'as brutish as this life is,']",2.068
587,"['I suppose it is preferable', 'to beheading.']",2.402
588,"['What did Ned Stark', 'want you for?']",2.234
589,['Buying from a slaver?'],1.967
590,['Selling to one--'],2.768
591,"['some poachers I caught', 'on my land.']",2.435
592,"[""Under my reign, you won't be"", 'punished for such nonsense.']",3.135
593,"['You can rest assured', 'of that.']",2.335
